save model time:1911_171732 step:90000, var:0.6288088080541039 collision_cnt 0
save model time:1911_171741 step:95000, var:0.5981264772809306 collision_cnt 0
save model time:1911_171749 step:100000, var:0.568941271563285 collision_cnt 0
save model time:1911_171758 step:105000, var:0.5411801396245727 collision_cnt 0
save model time:1911_171806 step:110000, var:0.5147735946793489 collision_cnt 0
save model time:1911_171815 step:115000, var:0.4896555405062142 collision_cnt 0
save model time:1911_171823 step:120000, var:0.46576310600737025 collision_cnt 0
save model time:1911_171832 step:125000, var:0.4430364878407412 collision_cnt 0
save model time:1911_171840 step:130000, var:0.4214188007307587 collision_cnt 0
save model time:1911_171849 step:135000, var:0.4008559350831408 collision_cnt 0
save model time:1911_171857 step:140000, var:0.3812964215472674 collision_cnt 0
save model time:1911_171905 step:145000, var:0.3626913021871484 collision_cnt 0
save model time:1911_171914 step:150000, var:0.3449940079385258 collision_cnt 0
save model time:1911_171922 step:155000, var:0.3281602420453769 collision_cnt 0
save model time:1911_171931 step:160000, var:0.31214786918406245 collision_cnt 0
save model time:1911_171939 step:165000, var:0.2969168099975909 collision_cnt 0
save model time:1911_171948 step:170000, var:0.2824289407760167 collision_cnt 0
save model time:1911_171957 step:175000, var:0.2686479980318732 collision_cnt 0
save model time:1911_172006 step:180000, var:0.2555394877317828 collision_cnt 0
save model time:1911_172015 step:185000, var:0.24307059895705804 collision_cnt 0
save model time:1911_172023 step:190000, var:0.231210121777177 collision_cnt 0
save model time:1911_172032 step:195000, var:0.2199283691305718 collision_cnt 0
save model time:1911_172041 step:200000, var:0.20919710251719414 collision_cnt 0
save model time:1911_172050 step:205000, var:0.19898946131686635 collision_cnt 0
save model time:1911_172058 step:210000, var:0.18927989555649868 collision_cnt 0
save model time:1911_172107 step:215000, var:0.18004410195788773 collision_cnt 0
save model time:1911_172116 step:220000, var:0.17125896310602293 collision_cnt 0
save model time:1911_172125 step:225000, var:0.1629024895856367 collision_cnt 0
save model time:1911_172134 step:230000, var:0.15495376494116583 collision_cnt 0
save model time:1911_172142 step:235000, var:0.14739289332235675 collision_cnt 0
save model time:1911_172152 step:240000, var:0.14020094968447036 collision_cnt 0
save model time:1911_172201 step:245000, var:0.13335993241843702 collision_cnt 0
save model time:1911_172210 step:250000, var:0.1268527182923931 collision_cnt 0
save model time:1911_172219 step:255000, var:0.12066301959181679 collision_cnt 0
save model time:1911_172228 step:260000, var:0.11477534335098476 collision_cnt 0
save model time:1911_172238 step:265000, var:0.10917495257370342 collision_cnt 0
save model time:1911_172247 step:270000, var:0.10384782934625068 collision_cnt 0
save model time:1911_172256 step:275000, var:0.09878063975019848 collision_cnt 0
save model time:1911_172305 step:280000, var:0.09396070048729219 collision_cnt 0
save model time:1911_172314 step:285000, var:0.08937594713284787 collision_cnt 0
save model time:1911_172324 step:290000, var:0.0850149039382052 collision_cnt 0
save model time:1911_172333 step:295000, var:0.08086665510665073 collision_cnt 0
save model time:1911_172342 step:300000, var:0.0769208174709144 collision_cnt 0
save model time:1911_172351 step:305000, var:0.0731675145038503 collision_cnt 0
save model time:1911_180000 step:310000, var:0.06959735159725029 collision_cnt 0
save model time:1911_180009 step:315000, var:0.06620139254691212 collision_cnt 0
save model time:1911_180019 step:320000, var:0.06297113718510378 collision_cnt 0
save model time:1911_180028 step:325000, var:0.05989850010443808 collision_cnt 0
save model time:1911_180037 step:330000, var:0.056975790419901945 collision_cnt 0
save model time:1911_180046 step:335000, var:0.054195692518385206 collision_cnt 0
save model time:1911_180056 step:340000, var:0.05155124774752375 collision_cnt 0
save model time:1911_180105 step:345000, var:0.04903583699802414 collision_cnt 0
save model time:1911_180114 step:350000, var:0.04664316413587278 collision_cnt 0
save model time:1911_180123 step:355000, var:0.04436724024296012 collision_cnt 0
save model time:1911_180133 step:360000, var:0.042202368626673516 collision_cnt 0
save model time:1911_180142 step:365000, var:0.04014313056093766 collision_cnt 0
save model time:1911_180151 step:370000, var:0.03818437172301214 collision_cnt 0
save model time:1911_180201 step:375000, var:0.03632118929209671 collision_cnt 0
save model time:1911_180210 step:380000, var:0.034548919677452154 collision_cnt 0
save model time:1911_180219 step:385000, var:0.032863126845319654 collision_cnt 0
save model time:1911_180228 step:390000, var:0.031259591215421 collision_cnt 0
save model time:1911_180238 step:395000, var:0.029734299099246936 collision_cnt 0
save model time:1911_180247 step:400000, var:0.028283432653697607 collision_cnt 0
save model time:1911_180256 step:405000, var:0.026903360324928863 collision_cnt 0
save model time:1911_180306 step:410000, var:0.025590627758485054 collision_cnt 0
save model time:1911_180315 step:415000, var:0.024341949152966173 collision_cnt 0
save model time:1911_180324 step:420000, var:0.02315419903558737 collision_cnt 0
save model time:1911_180334 step:425000, var:0.022024404439044975 collision_cnt 0
save model time:1911_180343 step:430000, var:0.020949737460107257 collision_cnt 0
save model time:1911_180352 step:435000, var:0.0199275081813042 collision_cnt 0
save model time:1911_180402 step:440000, var:0.01895515793799894 collision_cnt 0
save model time:1911_180411 step:445000, var:0.018030252913988222 collision_cnt 0
